Текущее время и дата: 26-12-2021 21:55:48, Log level: ERROR, Идентификатор треда: LogThread-1, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 21:55:48, Log level: WARN, Идентификатор треда: LogThread-2, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 21:55:48, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:55:50, Log level: WARN, Идентификатор треда: LogThread-2, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 21:55:51, Log level: ERROR, Идентификатор треда: LogThread-1, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 21:55:52, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:55:52, Log level: WARN, Идентификатор треда: LogThread-2, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 21:55:54, Log level: ERROR, Идентификатор треда: LogThread-1, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 21:55:54, Log level: WARN, Идентификатор треда: LogThread-2, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 21:55:56, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:55:56, Log level: WARN, Идентификатор треда: LogThread-2, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 21:55:57, Log level: ERROR, Идентификатор треда: LogThread-1, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 21:57:25, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:57:25, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:25, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:27, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:28, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:57:29, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:29, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:31, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:57:31, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:33, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:33, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:34, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:57:35, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:37, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:37, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:57:37, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:39, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:40, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:57:41, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:41, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:43, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:57:43, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:45, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:45, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:46, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:57:47, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:49, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:49, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:57:49, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:51, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:52, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:57:53, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:53, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:55, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:57:55, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:57, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:57, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:57:58, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:57:59, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:01, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:01, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:58:01, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:03, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:04, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:58:05, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:05, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:07, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:58:07, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:09, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:09, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:10, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 21:58:11, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:13, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 21:58:13, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
